script,function,start_line,end_line,signals
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,bootstrap_mean_ci,177,185,mean
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,corrected_repeated_kfold_ttest,188,218,mean
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,repeat_level_scores,221,238,
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,summarize_paired_values,241,262,mean;std
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,build_model_contrasts,265,391,mean
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,detect_module_columns,410,417,
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,get_module_score_mapping,435,443,
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,build_module_gene_map,457,478,
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,detect_ortholog_columns,481,496,
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,standardize_expression,499,507,mean;std;zscore
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,safe_corr,510,514,std;correlation
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,endpoint_module_row,517,532,
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,build_weights_and_manifest,554,778,zscore;loadings
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,deduplicate_human_weights,781,797,weights
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,write_gmt,800,808,weights
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,build_scoring_specification,811,865,zscore;weights;loadings;direction;coverage
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,write_readme,876,909,weights;loadings;direction
scripts/21_finalize_canine_transfer_programs_FIXED_V2.py,main,912,1113,weights;direction;coverage
scripts/22_prepare_human_osteosarcoma_cohorts.py,verify_frozen_inputs,146,195,weights
scripts/22_prepare_human_osteosarcoma_cohorts.py,standardize_target_clinical,517,610,zscore
scripts/22_prepare_human_osteosarcoma_cohorts.py,prepare_gse21257,734,818,loadings
scripts/22_prepare_human_osteosarcoma_cohorts.py,zscore_columns,821,827,mean;std
scripts/22_prepare_human_osteosarcoma_cohorts.py,zscore_series,830,835,mean;std
scripts/22_prepare_human_osteosarcoma_cohorts.py,safe_corr,838,842,std;correlation
scripts/22_prepare_human_osteosarcoma_cohorts.py,human_cohort_pc1,845,854,correlation
scripts/22_prepare_human_osteosarcoma_cohorts.py,compute_module_scores,857,930,mean;weights;direction;coverage
scripts/22_prepare_human_osteosarcoma_cohorts.py,detect_ortholog_columns,933,945,
scripts/22_prepare_human_osteosarcoma_cohorts.py,build_strict_human_proliferation_mapping,956,995,
scripts/22_prepare_human_osteosarcoma_cohorts.py,compute_proliferation_scores,998,1074,mean
scripts/22_prepare_human_osteosarcoma_cohorts.py,residualize_outcome_blind,1077,1085,std;matrix_product
scripts/22_prepare_human_osteosarcoma_cohorts.py,add_m40_residual_scores,1088,1106,
scripts/22_prepare_human_osteosarcoma_cohorts.py,merge_score_components,1109,1119,
scripts/22_prepare_human_osteosarcoma_cohorts.py,write_readme,1122,1124,weights;direction
scripts/22_prepare_human_osteosarcoma_cohorts.py,print_coverage_summary,1193,1214,coverage
scripts/22_prepare_human_osteosarcoma_cohorts.py,main,1217,1427,zscore;weights
scripts/23_external_human_validation.py,standardize_series,166,171,mean;std;zscore
scripts/23_external_human_validation.py,clean_scores,174,179,
scripts/23_external_human_validation.py,fit_cox_score,218,322,std;zscore;rank
scripts/23_external_human_validation.py,fit_logistic_score,351,449,std;zscore
