module_label,left_out_gene,n_genes_remaining,correlation_with_full_score
M34,ABCC3,153,0.9999761473856285
M34,ACOD1,153,0.9999572212148653
M34,ADCY7,153,0.9999484540582274
M34,ADGRE3,153,0.9999399478504866
M34,ADGRF1,153,0.9999571457859184
M34,ADGRG6,153,0.999949475626178
M34,ALOX5,153,0.9999569298506417
M34,ANKRD22,153,0.9999553270704097
M34,ANXA3,153,0.9999394044674693
M34,ARHGAP30,153,0.9999783624256519
M34,ARHGDIB,153,0.9999656992623576
M34,ARRB1,153,0.9999605488506395
M34,ATF7IP2,153,0.9999493752463465
M34,ATP8A1,153,0.9999614593692715
M34,B2M,153,0.9999680779182314
M34,BATF2,153,0.9999450470770979
M34,BLNK,153,0.9999697586970645
M34,BTK,153,0.9999571935228254
M34,C3AR1,153,0.999963064961751
M34,CAPG,153,0.9999489389666132
M34,CARD9,153,0.9999782718705083
M34,CASP8,153,0.9999400867596805
M34,CBLN3,153,0.9999513528667338
M34,CBX7,153,0.9999480174868409
M34,CCR2,153,0.9999648681683899
M34,CD244,153,0.9999515031961773
M34,CD74,153,0.9999702334350166
M34,CD80,153,0.9999591083620388
M34,CD86,153,0.9999660630843211
M34,CLEC12A,153,0.9999517412451361
M34,CSF1R,153,0.9999786214341821
M34,CSF2RB,153,0.9999637933420247
M34,CTSH,153,0.9999645366094351
M34,CYSLTR2,153,0.9999551291075458
M34,CYTH4,153,0.9999744090962558
M34,DAPP1,153,0.9999652078614608
M34,DENND1C,153,0.9999861219724501
M34,DHX58,153,0.999957429853879
M34,DNASE1L3,153,0.9999462602603296
M34,DOCK2,153,0.9999382222639536
M34,DOK2,153,0.999957149070858
M34,DRAM1,153,0.9999467289921601
M34,DTX3L,153,0.9999424656706453
M34,EGR1,153,0.9999358040499651
M34,EHD3,153,0.9999574903511038
M34,ENPP5,153,0.9999544768577494
M34,EPAS1,153,0.9999455725352993
M34,EPHB3,153,0.9999479409360222
M34,F5,153,0.9999491973757614
M34,FAM107A,153,0.99994084237669
M34,FAXDC2,153,0.9999382366112738
M34,FCER1G,153,0.9999709619179494
M34,FERMT3,153,0.9999797339042742
M34,FGR,153,0.9999637563169822
M34,FYB1,153,0.9999683335712332
M34,GAB2,153,0.9999674094075814
M34,GBP1,153,0.9999664366707888
M34,GLUL,153,0.9999581723769704
M34,GMFG,153,0.9999655312614598
M34,GPR183,153,0.9999549721068087
M34,GPSM3,153,0.9999651697881318
M34,GSAP,153,0.9999589038398535
M34,HACD4,153,0.9999458553222842
M34,HCLS1,153,0.9999764898161037
M34,HNMT,153,0.9999447937174608
M34,IFI30,153,0.999966530071691
M34,IFI35,153,0.9999487412172664
M34,IL18,153,0.9999602857345575
M34,IL1RN,153,0.9999624868639422
M34,IL34,153,0.9999421730753194
M34,INPP5D,153,0.9999837847825256
M34,IRF5,153,0.9999759790493646
M34,JAML,153,0.9999642515133774
M34,JCHAIN,153,0.999944018949539
M34,KBTBD12,153,0.9999361025173173
M34,KCNQ1,153,0.9999745014100653
M34,KIAA0040,153,0.9999555060947165
M34,LAMA3,153,0.9999401713543551
M34,LAPTM5,153,0.9999744828749999
M34,LCP1,153,0.9999754280276054
M34,LY96,153,0.9999443269741046
M34,MCTP1,153,0.9999463081692522
M34,MILR1,153,0.9999703736102963
M34,MOSPD2,153,0.9999680393032025
M34,MS4A7,153,0.9999477444754561
M34,NCF4,153,0.9999658648364449
M34,NCKAP1L,153,0.9999868019885731
M34,NFAM1,153,0.999975549385099
M34,OAS1,153,0.9999403138884931
M34,OAS2,153,0.9999594062754796
M34,OSBPL3,153,0.9999483241045068
M34,PAG1,153,0.9999393087481896
M34,PAPPA,153,0.9999611834678234
M34,PARP12,153,0.9999714373146289
M34,PARP14,153,0.9999553029977645
M34,PARP15,153,0.999962342488964
M34,PARP9,153,0.9999415761026699
M34,PARVG,153,0.999976352337384
M34,PID1,153,0.9999412311781386
M34,PIK3AP1,153,0.9999674328379626
M34,PIK3CG,153,0.999967185348348
M34,PIK3IP1,153,0.9999417079896319
M34,PRDM1,153,0.9999611665278528
M34,PRKAR2B,153,0.9999429080441234
M34,PTAFR,153,0.9999674990702335
M34,PTK2B,153,0.9999770314092375
M34,PTPN6,153,0.9999743737853917
M34,PTPRC,153,0.9999785560425056
M34,PTPRJ,153,0.9999698376740925
M34,PTPRO,153,0.9999486842404982
M34,PYCARD,153,0.9999660686785071
M34,RAB29,153,0.9999465618073158
M34,RASSF5,153,0.9999366189260172
M34,RETSAT,153,0.9999439191431947
M34,RGS18,153,0.9999676223640241
M34,RNASEL,153,0.9999509806688639
M34,RNF213,153,0.9999524898514489
M34,SAMD9L,153,0.9999540426568406
M34,SAMSN1,153,0.9999572890885803
M34,SASH3,153,0.9999698045136659
M34,SCTR,153,0.9999424042511272
M34,SERPINB8,153,0.9999500970658444
M34,SERPINB9,153,0.9999403291304281
M34,SERPING1,153,0.9999525029090575
M34,SH3TC1,153,0.999957235971195
M34,SIRPB2,153,0.9999646119817366
M34,SLC43A2,153,0.999965811169002
M34,SLC6A6,153,0.9999614162780015
M34,SLC8A1,153,0.9999464056571693
M34,SLCO2B1,153,0.9999773378646819
M34,SLCO3A1,153,0.9999530908897593
M34,SP100,153,0.9999499539717941
M34,SRM,153,0.9999455723952282
M34,SUSD1,153,0.9999533812249043
M34,SYK,153,0.9999753704816742
M34,SYTL1,153,0.9999403710392071
M34,TAGAP,153,0.9999730727696552
M34,TAPBPL,153,0.999956137338531
M34,TBC1D9,153,0.9999689958349572
M34,TLR1,153,0.9999523632816844
M34,TLR3,153,0.999936233635519
M34,TLR7,153,0.9999760981654474
M34,TMEM140,153,0.9999627929409087
M34,TMEM144,153,0.9999624056225512
M34,TMEM86A,153,0.9999731062174418
M34,TNFAIP8,153,0.9999409088171898
M34,TNFAIP8L2,153,0.999963298553847
M34,TNFSF8,153,0.9999581132366945
M34,TRANK1,153,0.999943888743573
M34,TRIM14,153,0.999963689255979
M34,TRIM22,153,0.9999586771177937
M34,VAV1,153,0.9999820206980471
M34,VWA5A,153,0.999969064554433
M34,ZMAT1,153,0.9999518403011981
M11,ADAMTS1,5,0.9875836716142631
M11,ADAMTS4,5,0.9913544077860994
M11,ANGPT2,5,0.991754495822352
M11,IGFBP3,5,0.9914400345366008
M11,MCAM,5,0.9896303666436982
M11,STC1,5,0.9878579880937016
M24,GABRA2,5,0.9752168027974848
M24,HHIP,5,0.9675800073013949
M24,NETO1,5,0.9813086373746001
M24,NR2F1,5,0.970698770736893
M24,OSR2,5,0.9800295420628946
M24,RYR2,5,0.9791967832667168
M40,ARL4D,105,0.9999526345058309
M40,ATAD2,105,0.9999474199231491
M40,BARX1,105,0.9999306188180593
M40,BUB1,105,0.9999865681169151
M40,C1S,105,0.9999403078100276
M40,CALHM5,105,0.99991718786572
M40,CCNA2,105,0.9999735769854273
M40,CCNB3,105,0.9999827276247912
M40,CDC20,105,0.9999829035518951
M40,CDC6,105,0.9999795458971588
M40,CDCA2,105,0.9999692615673368
M40,CDCA8,105,0.9999837583780975
M40,CENPI,105,0.9999809368230695
M40,CENPK,105,0.9999611842705223
M40,CENPT,105,0.9999805902604075
M40,CEP72,105,0.9999598514990641
M40,CLSPN,105,0.9999667882707916
M40,CLTCL1,105,0.9999074031870294
M40,CRYBG1,105,0.9999252248849492
M40,CXCL14,105,0.9999394450260494
M40,DEPDC1,105,0.999979028972135
M40,DLGAP5,105,0.9999871707358131
M40,DNA2,105,0.9999704199488393
M40,DNAJB1,105,0.9999192278598863
M40,DNPH1,105,0.9999545489857639
M40,DSCC1,105,0.9999554780695573
M40,DSN1,105,0.9999810777259424
M40,E2F7,105,0.9999596563317872
M40,E2F8,105,0.9999775701550732
M40,ECT2,105,0.9999684262315187
M40,ELOVL4,105,0.9999253377007583
M40,EPHA2,105,0.9999348158175001
M40,ESPL1,105,0.9999613277435982
M40,EXO1,105,0.9999619480962476
M40,FAM131C,105,0.9999178204463486
M40,FAM180A,105,0.9999447495856212
M40,FAM83D,105,0.9999775567058813
M40,FANCA,105,0.9999484847196517
M40,FANCD2,105,0.999975534985257
M40,FANCM,105,0.9999865159694468
M40,FN1,105,0.999930967450713
M40,GAREM2,105,0.9999182135584428
M40,GAS6,105,0.9999667496810463
M40,GPRC5C,105,0.9999187015250938
M40,GTSE1,105,0.9999776716085257
M40,HELLS,105,0.999974591089266
M40,HSP90AA1,105,0.9999407797720467
M40,HSPH1,105,0.9999454274210066
M40,ITGBL1,105,0.9999470728501291
M40,KIF15,105,0.9999789286138326
M40,KIF18B,105,0.999944815556991
M40,KIF22,105,0.9999829990953397
M40,KIF23,105,0.9999755300683395
M40,KIF4A,105,0.9999852149583537
M40,LGR4,105,0.9999078833638567
M40,LHX2,105,0.9999458849772227
M40,LIMS2,105,0.9999631790124599
M40,MAP1LC3C,105,0.9999303763071612
M40,MCM2,105,0.9999753699597551
M40,MCM5,105,0.9999738223966181
M40,MEX3A,105,0.9999352644465064
M40,MIS18A,105,0.9999827903648402
M40,MSI1,105,0.9999170729262974
